,Complexity,CPU time,Peak RAM,Fraction,Methods
0,high,2.04,22.16,0.1,LocalHGT
1,high,2.45,22.17,0.1,LEMON
2,low,1.53,22.06,0.1,LocalHGT
3,low,2.27,21.86,0.1,LEMON
4,medium,1.92,22.14,0.1,LocalHGT
5,medium,2.69,22.39,0.1,LEMON
6,high,2.9,22.18,0.2,LocalHGT
7,high,5.03,22.19,0.2,LEMON
8,low,2.07,22.12,0.2,LocalHGT
9,low,4.59,21.88,0.2,LEMON
10,medium,2.66,22.16,0.2,LocalHGT
11,medium,5.56,22.42,0.2,LEMON
12,high,3.21,22.19,0.3,LocalHGT
13,high,7.77,22.2,0.3,LEMON
14,low,2.28,22.06,0.3,LocalHGT
15,low,7.11,21.89,0.3,LEMON
16,medium,3.02,22.15,0.3,LocalHGT
17,medium,8.59,22.42,0.3,LEMON
18,high,3.7,22.23,0.4,LocalHGT
19,high,10.43,22.21,0.4,LEMON
20,low,2.55,22.12,0.4,LocalHGT
21,low,10.0,21.91,0.4,LEMON
22,medium,3.4,22.15,0.4,LocalHGT
23,medium,11.65,22.43,0.4,LEMON
24,high,3.98,22.17,0.5,LocalHGT
25,high,13.29,22.22,0.5,LEMON
26,low,2.77,22.12,0.5,LocalHGT
27,low,12.83,21.91,0.5,LEMON
28,medium,3.71,22.16,0.5,LocalHGT
29,medium,15.1,22.44,0.5,LEMON
30,high,4.35,22.37,0.6,LocalHGT
31,high,16.39,22.24,0.6,LEMON
32,low,3.07,22.12,0.6,LocalHGT
33,low,15.74,21.91,0.6,LEMON
34,medium,4.1,22.16,0.6,LocalHGT
35,medium,18.6,22.45,0.6,LEMON
36,high,4.65,22.44,0.7,LocalHGT
37,high,19.13,22.23,0.7,LEMON
38,low,3.22,22.12,0.7,LocalHGT
39,low,18.34,21.9,0.7,LEMON
40,medium,4.45,22.15,0.7,LocalHGT
41,medium,22.18,22.44,0.7,LEMON
