chrom,mid
Kurthia,2
Porphyromonas,2
Leptotrichia,2
TM7x,2
Citrobacter,2
Kurthia,2
Porphyromonas,2
Pseudescherichia,2
Clostridium_M,2
Enterobacter,2
Kurthia,2
Escherichia,2
Escherichia,2
Clostridium_M,2
Atlantibacter,2
F0422,2
Porphyromonas,2
Leptotrichia,2
Leptotrichia,2
Anaerococcus,2
Porphyromonas,2
Escherichia,2
Leptotrichia,2
Escherichia,2
Escherichia,2
F0422,2
F0422,2
Porphyromonas,2
Escherichia,2
Enterobacter,2
Anaerococcus,2
Solobacterium,2
Kurthia,2
Anaerococcus,2
Lachnoclostridium,2
Gemella,2
Escherichia,2
Anaerococcus,2
Klebsiella,2
Peptoniphilus_B,2
Escherichia,2
Enterobacter,2
Escherichia,2
Enterobacter,2
Porphyromonas,2
Gemella,2
Vibrio,2
Gemella,2
Citrobacter_B,2
Porphyromonas,2
Escherichia,2
Leptotrichia,2
Atlantibacter,2
Kurthia,2
Collinsella,2
Escherichia,2
