genus,start,end,value1
Ruminococcus_E,0,4,2
Bacteroides,0,4,9
Bacteroides_A,0,4,8
Bacteroides_B,0,4,9
Prevotella,0,4,5
Paraprevotella,0,4,3
Coprobacter,0,4,2
Collinsella,0,4,1
Pseudescherichia,0,4,5
Citrobacter,0,4,1
Escherichia,0,4,18
Klebsiella,0,4,2
Enterobacter,0,4,4
Atlantibacter,0,4,2
Pantoea,0,4,1
Providencia,0,4,1
Kluyvera,0,4,2
Metakosakonia,0,4,1
Salmonella,0,4,1
Pluralibacter,0,4,1
Nissabacter,0,4,1
Citrobacter_B,0,4,1
Klebsiella_A,0,4,1
Solobacterium,0,4,5
Gemella,0,4,3
Anaerococcus,0,4,4
Clostridium_M,0,4,2
Faecalicatena,0,4,5
Blautia_A,0,4,7
Agathobacter,0,4,7
Roseburia,0,4,5
Lachnospira,0,4,5
Lachnoclostridium,0,4,1
UBA5416,0,4,1
Anaerostipes,0,4,2
Blautia,0,4,1
TF01-11,0,4,1
Leptotrichia,0,4,9
Rothia,0,4,5
CAG-485,0,4,1
Ureaplasma,0,4,6
Oscillibacter,0,4,2
Paenibacillus,0,4,1
Peptoniphilus_B,0,4,1
Kurthia,0,4,5
Porphyromonas,0,4,11
Alistipes,0,4,6
Faecalibacterium,0,4,3
Gemmiger,0,4,3
Neobitarella,0,4,1
TM7x,0,4,4
Parabacteroides,0,4,5
F0422,0,4,5
Vibrio,0,4,2
