	AUC	Cohort	Group
0	0.827	YachidaS_2019	Hybrid
1	0.828	FengQ_2015	Hybrid
2	0.857	VogtmannE_2016	Hybrid
3	0.816	ThomasAM_2018a	Hybrid
4	0.906	ThomasAM_2018b	Hybrid
5	0.938	WirbelJ_2018	Hybrid
6	0.832	ZellerG_2014	Hybrid
7	0.887	YuJ_2015	Hybrid
8	0.756	YachidaS_2019	Thomas-Abun
9	0.801	FengQ_2015	Thomas-Abun
10	0.772	VogtmannE_2016	Thomas-Abun
11	0.802	ThomasAM_2018a	Thomas-Abun
12	0.877	ThomasAM_2018b	Thomas-Abun
13	0.837	WirbelJ_2018	Thomas-Abun
14	0.798	ZellerG_2014	Thomas-Abun
15	0.847	YuJ_2015	Thomas-Abun
